-	ー
:	ー
,	、
;	っ
.	。
a	あ
i	い
u	う
e	え
o	お
ka	か
ki	き
ku	く
ke	け
ko	こ
kz	かん
kk	きん
kj	くん
kd	けん
kl	こん
kq	かい
kh	くう
kw	けい
kp	こう
sa	さ
si	し
su	す
se	せ
so	そ
sz	さん
sk	しん
sj	すん
sd	せん
sl	そん
sq	さい
sh	すう
sw	せい
sp	そう
ta	た
ti	ち
tu	つ
te	て
to	と
tz	たん
tk	ちん
tj	つん
td	てん
tl	とん
tq	たい
th	つう
tw	てい
tp	とう
na	な
ni	に
nu	ぬ
ne	ね
no	の
nz	なん
nk	にん
nj	ぬん
nd	ねん
nl	のん
nq	ない
nh	ぬう
nw	ねい
np	のう
ha	は
hi	ひ
hu	ふ
he	へ
ho	ほ
hz	はん
hk	ひん
hj	ふん
hd	へん
hl	ほん
hq	はい
hh	ふう
hw	へい
hp	ほう
ma	ま
mi	み
mu	む
me	め
mo	も
mz	まん
mk	みん
mj	むん
md	めん
ml	もん
mq	まい
mh	むう
mw	めい
mp	もう
ya	や
yi	い
yu	ゆ
ye	いぇ
yo	よ
yz	やん
yk	いん
yj	ゆん
yd	いぇん
yl	よん
yq	やい
yh	ゆう
yw	いぇい
yp	よう
ra	ら
ri	り
ru	る
re	れ
ro	ろ
rz	らん
rk	りん
rj	るん
rd	れん
rl	ろん
rq	らい
rh	るう
rw	れい
rp	ろう
wa	わ
wi	うぃ
wu	う
we	うぇ
wo	を
wz	わん
wk	うぃん
wj	うん
wd	うぇん
wl	うぉん
wq	わい
wh	うう
ww	うぇい
wp	うぉー
nn	ん
n'	ん
xn	ん
q	ん
ga	が
gi	ぎ
gu	ぐ
ge	げ
go	ご
gz	がん
gk	ぎん
gj	ぐん
gd	げん
gl	ごん
gq	がい
gh	ぐう
gw	げい
gp	ごう
za	ざ
zi	じ
zu	ず
ze	ぜ
zo	ぞ
zz	ざん
zk	じん
zj	ずん
zd	ぜん
zl	ぞん
zq	ざい
zh	ずう
zw	ぜい
zp	ぞう
da	だ
di	ぢ
du	づ
de	で
do	ど
dz	だん
dk	ぢん
dj	づん
dd	でん
dl	どん
dq	だい
dh	づう
dw	でい
dp	どう
ba	ば
bi	び
bu	ぶ
be	べ
bo	ぼ
bz	ばん
bk	びん
bj	ぶん
bd	べん
bl	ぼん
bq	ばい
bh	ぶう
bw	べい
bp	ぼう
pa	ぱ
pi	ぴ
pu	ぷ
pe	ぺ
po	ぽ
pz	ぱん
pk	ぴん
pj	ぷん
pd	ぺん
pl	ぽん
pq	ぱい
ph	ぷう
pw	ぺい
pp	ぽう
la	ぁ
li	ぃ
lu	ぅ
le	ぇ
lo	ぉ
lz	ぁん
lk	ぃん
lj	ぅん
ld	ぇん
ll	ぉん
lq	ぁい
lh	ぅう
lw	ぇい
lp	ぉう
lya	ゃ
lyi	ぃ
lyu	ゅ
lye	ぇ
lyo	ょ
lyz	ゃん
lyk	ぃん
lyj	ゅん
lyd	ぇん
lyl	ょん
lyq	ゃい
lyh	ゅう
lyw	ぇい
lyp	ょう
ca	ちゃ
ci	ち
cu	ちゅ
ce	ちぇ
co	ちょ
cz	ちゃん
ck	ちん
cj	ちゅん
cd	ちぇん
cl	ちょん
cq	ちゃい
ch	ちゅう
cw	ちぇい
cp	ちょう
kya	きゃ
kyi	きぃ
kyu	きゅ
kye	きぇ
kyo	きょ
kyz	きゃん
kyk	きぃん
kyj	きゅん
kyd	きぇん
kyl	きょん
kyq	きゃい
kyh	きゅう
kyw	きぇい
kyp	きょう
kga	きゃ
kgi	きぃ
kgu	きゅ
kge	きぇ
kgo	きょ
kgz	きゃん
kgk	きぃん
kgj	きゅん
kgd	きぇん
kgl	きょん
kgq	きゃい
kgh	きゅう
kgw	きぇい
kgp	きょう
gya	ぎゃ
gyi	ぎぃ
gyu	ぎゅ
gye	ぎぇ
gyo	ぎょ
gyz	ぎゃん
gyk	ぎぃん
gyj	ぎゅん
gyd	ぎぇん
gyl	ぎょん
