-	ー
:	ー
,	、
;	っ
.	。
a	あ
i	い
u	う
e	え
o	お
ka	か
ki	き
ku	く
ke	け
ko	こ
ks	かっ
k9	きっ
k8	くっ
k4	けっ
k0	こっ
kz	かん
kk	きん
kj	くん
kd	けん
kl	こん
kq	かい
kh	くう
kw	けい
kp	こう
sa	さ
si	し
su	す
se	せ
so	そ
ss	さっ
s9	しっ
s8	すっ
s4	せっ
s0	そっ
sz	さん
sk	しん
sj	すん
sd	せん
sl	そん
sq	さい
sh	すう
sw	せい
sp	そう
ta	た
ti	ち
tu	つ
te	て
to	と
ts	たっ
t9	ちっ
t8	つっ
t4	てっ
t0	とっ
tz	たん
tk	ちん
tj	つん
td	てん
tl	とん
tq	たい
th	つう
tw	てい
tp	とう
na	な
ni	に
nu	ぬ
ne	ね
no	の
ns	なっ
n9	にっ
n8	ぬっ
n4	ねっ
n0	のっ
nz	なん
nk	にん
nj	ぬん
nd	ねん
nl	のん
nq	ない
nh	ぬう
nw	ねい
np	のう
ha	は
hi	ひ
hu	ふ
he	へ
ho	ほ
hs	はっ
h9	ひっ
h8	ふっ
h4	へっ
h0	ほっ
hz	はん
hk	ひん
hj	ふん
hd	へん
hl	ほん
hq	はい
hh	ふう
hw	へい
hp	ほう
ma	ま
mi	み
mu	む
me	め
mo	も
ms	まっ
m9	みっ
m8	むっ
m4	めっ
m0	もっ
mz	まん
mk	みん
mj	むん
md	めん
ml	もん
mq	まい
mh	むう
mw	めい
mp	もう
ya	や
yi	い
yu	ゆ
ye	いぇ
yo	よ
ys	やっ
y9	いっ
y8	ゆっ
y4	いぇっ
y0	よっ
yz	やん
yk	いん
yj	ゆん
yd	いぇん
yl	よん
yq	やい
yh	ゆう
yw	いぇい
yp	よう
ra	ら
ri	り
ru	る
re	れ
ro	ろ
rs	らっ
r9	りっ
r8	るっ
r4	れっ
r0	ろっ
rz	らん
rk	りん
rj	るん
rd	れん
rl	ろん
rq	らい
rh	るう
rw	れい
rp	ろう
wa	わ
wi	うぃ
wu	う
we	うぇ
wo	を
wz	わん
ws	わっ
w9	うぃっ
w8	うっ
w4	うぇっ
w0	をっ
wk	うぃん
wj	うん
wd	うぇん
wl	うぉん
wq	わい
wh	うう
ww	うぇい
wp	うぉー
nn	ん
n'	ん
xn	ん
q	ん
ga	が
gi	ぎ
gu	ぐ
ge	げ
go	ご
gs	がっ
g9	ぎっ
g8	ぐっ
g4	げっ
g0	ごっ
gz	がん
gk	ぎん
gj	ぐん
gd	げん
gl	ごん
gq	がい
gh	ぐう
gw	げい
gp	ごう
za	ざ
zi	じ
zu	ず
ze	ぜ
zo	ぞ
zs	ざっ
z9	じっ
z8	ずっ
z4	ぜっ
z0	ぞっ
zz	ざん
zk	じん
zj	ずん
zd	ぜん
zl	ぞん
zq	ざい
zh	ずう
zw	ぜい
zp	ぞう
da	だ
di	ぢ
du	づ
de	で
do	ど
ds	だっ
d9	ぢっ
d8	づっ
d4	でっ
d0	どっ
dz	だん
dk	ぢん
dj	づん
dd	でん
dl	どん
dq	だい
dh	づう
dw	でい
dp	どう
ba	ば
bi	び
bu	ぶ
be	べ
bo	ぼ
bs	ばっ
b9	びっ
b8	ぶっ
b4	べっ
b0	ぼっ
bz	ばん
bk	びん
bj	ぶん
bd	べん
bl	ぼん
bq	ばい
bh	ぶう
bw	べい
bp	ぼう
pa	ぱ
pi	ぴ
pu	ぷ
pe	ぺ
po	ぽ
ps	ぱっ
p9	ぴっ
p8	ぷっ
p4	ぺっ
p0	ぽっ
pz	ぱん
pk	ぴん
pj	ぷん
pd	ぺん
pl	ぽん
pq	ぱい
ph	ぷう
pw	ぺい
pp	ぽう
la	ぁ
li	ぃ
lu	ぅ
le	ぇ
lo	ぉ
ls	ぁっ
l9	ぃっ
l8	ぅっ
l4	ぇっ
l0	ぉっ
lz	ぁん
lk	ぃん
lj	ぅん
ld	ぇん
ll	ぉん
lq	ぁい
lh	ぅう
lw	ぇい
lp	ぉう
lya	ゃ
